Year,State,County,Total Population,Total Employed Civilians,Total Unemployed Civilians,Total People in the Military,Total Population in Poverty
2016,Alabama,Autauga CountyBaldwin CountyBarbour CountyBibb CountyBlount CountyBullock CountyButler CountyCalhoun CountyChambers CountyCherokee CountyChilton CountyChoctaw CountyClarke CountyClay CountyCleburne CountyCoffee CountyColbert CountyConecuh CountyCoosa CountyCovington CountyCrenshaw CountyCullman CountyDale CountyDallas CountyDeKalb CountyElmore CountyEscambia CountyEtowah CountyFayette CountyFranklin CountyGeneva CountyGreene CountyHale CountyHenry CountyHouston CountyJackson CountyJefferson CountyLamar CountyLauderdale CountyLawrence CountyLee CountyLimestone CountyLowndes CountyMacon CountyMadison CountyMarengo CountyMarion CountyMarshall CountyMobile CountyMonroe CountyMontgomery CountyMorgan CountyPerry CountyPickens CountyPike CountyRandolph CountyRussell CountySt. Clair CountyShelby CountySumter CountyTalladega CountyTallapoosa CountyTuscaloosa CountyWalker CountyWashington CountyWilcox CountyWinston County,4841164,2042025.0,184479.0,12150.0,868666.0
2016,Alaska,Aleutians East BoroughAleutians West Census AreaAnchorage MunicipalityBethel Census AreaBristol Bay BoroughDenali BoroughDillingham Census AreaFairbanks North Star BoroughHaines BoroughHoonah-Angoon Census AreaJuneau City and BoroughKenai Peninsula BoroughKetchikan Gateway BoroughKodiak Island BoroughKusilvak Census AreaLake and Peninsula BoroughMatanuska-Susitna BoroughNome Census AreaNorth Slope BoroughNorthwest Arctic BoroughPetersburg BoroughPrince of Wales-Hyder Census AreaSitka City and BoroughSkagway MunicipalitySoutheast Fairbanks Census AreaValdez-Cordova Census AreaWrangell City and BoroughYakutat City and BoroughYukon-Koyukuk Census Area,736855,353954.0,30139.0,16382.0,72826.0
2016,Arizona,Apache CountyCochise CountyCoconino CountyGila CountyGraham CountyGreenlee CountyLa Paz CountyMaricopa CountyMohave CountyNavajo CountyPima CountyPinal CountySanta Cruz CountyYavapai CountyYuma County,6728577,2879372.0,249972.0,17373.0,1165636.0
2016,Arkansas,Arkansas CountyAshley CountyBaxter CountyBenton CountyBoone CountyBradley CountyCalhoun CountyCarroll CountyChicot CountyClark CountyClay CountyCleburne CountyCleveland CountyColumbia CountyConway CountyCraighead CountyCrawford CountyCrittenden CountyCross CountyDallas CountyDesha CountyDrew CountyFaulkner CountyFranklin CountyFulton CountyGarland CountyGrant CountyGreene CountyHempstead CountyHot Spring CountyHoward CountyIndependence CountyIzard CountyJackson CountyJefferson CountyJohnson CountyLafayette CountyLawrence CountyLee CountyLincoln CountyLittle River CountyLogan CountyLonoke CountyMadison CountyMarion CountyMiller CountyMississippi CountyMonroe CountyMontgomery CountyNevada CountyNewton CountyOuachita CountyPerry CountyPhillips CountyPike CountyPoinsett CountyPolk CountyPope CountyPrairie CountyPulaski CountyRandolph CountySt. Francis CountySaline CountyScott CountySearcy CountySebastian CountySevier CountySharp CountyStone CountyUnion CountyVan Buren CountyWashington CountyWhite CountyWoodruff CountyYell County,2968472,1266552.0,93190.0,4445.0,542431.0
2016,California,Alameda CountyAlpine CountyAmador CountyButte CountyCalaveras CountyColusa CountyContra Costa CountyDel Norte CountyEl Dorado CountyFresno CountyGlenn CountyHumboldt CountyImperial CountyInyo CountyKern CountyKings CountyLake CountyLassen CountyLos Angeles CountyMadera CountyMarin CountyMariposa CountyMendocino CountyMerced CountyModoc CountyMono CountyMonterey CountyNapa CountyNevada CountyOrange CountyPlacer CountyPlumas CountyRiverside CountySacramento CountySan Benito CountySan Bernardino CountySan Diego CountySan Francisco CountySan Joaquin CountySan Luis Obispo CountySan Mateo CountySanta Barbara CountySanta Clara CountySanta Cruz CountyShasta CountySierra CountySiskiyou CountySolano CountySonoma CountyStanislaus CountySutter CountyTehama CountyTrinity CountyTulare CountyTuolumne CountyVentura CountyYolo CountyYuba County,38654206,17577142.0,1683726.0,130452.0,6004257.0
2016,Colorado,Adams CountyAlamosa CountyArapahoe CountyArchuleta CountyBaca CountyBent CountyBoulder CountyBroomfield CountyChaffee CountyCheyenne CountyClear Creek CountyConejos CountyCostilla CountyCrowley CountyCuster CountyDelta CountyDenver CountyDolores CountyDouglas CountyEagle CountyElbert CountyEl Paso CountyFremont CountyGarfield CountyGilpin CountyGrand CountyGunnison CountyHinsdale CountyHuerfano CountyJackson CountyJefferson CountyKiowa CountyKit Carson CountyLake CountyLa Plata CountyLarimer CountyLas Animas CountyLincoln CountyLogan CountyMesa CountyMineral CountyMoffat CountyMontezuma CountyMontrose CountyMorgan CountyOtero CountyOuray CountyPark CountyPhillips CountyPitkin CountyProwers CountyPueblo CountyRio Blanco CountyRio Grande CountyRoutt CountySaguache CountySan Juan CountySan Miguel CountySedgwick CountySummit CountyTeller CountyWashington CountyWeld CountyYuma County,5359295,2692529.0,171695.0,33135.0,637938.0
2016,Connecticut,Fairfield CountyHartford CountyLitchfield CountyMiddlesex CountyNew Haven CountyNew London CountyTolland CountyWindham County,3588570,1793688.0,155005.0,8367.0,360464.0
2016,Delaware,Kent CountyNew Castle CountySussex County,934695,438292.0,33669.0,2860.0,109448.0
2016,District of Columbia,District of Columbia,659009,348225.0,33326.0,3505.0,112060.0
2016,Florida,Alachua CountyBaker CountyBay CountyBradford CountyBrevard CountyBroward CountyCalhoun CountyCharlotte CountyCitrus CountyClay CountyCollier CountyColumbia CountyDeSoto CountyDixie CountyDuval CountyEscambia CountyFlagler CountyFranklin CountyGadsden CountyGilchrist CountyGlades CountyGulf CountyHamilton CountyHardee CountyHendry CountyHernando CountyHighlands CountyHillsborough CountyHolmes CountyIndian River CountyJackson CountyJefferson CountyLafayette CountyLake CountyLee CountyLeon CountyLevy CountyLiberty CountyMadison CountyManatee CountyMarion CountyMartin CountyMiami-Dade CountyMonroe CountyNassau CountyOkaloosa CountyOkeechobee CountyOrange CountyOsceola CountyPalm Beach CountyPasco CountyPinellas CountyPolk CountyPutnam CountySt. Johns CountySt. Lucie CountySanta Rosa CountySarasota CountySeminole CountySumter CountySuwannee CountyTaylor CountyUnion CountyVolusia CountyWakulla CountyWalton CountyWashington County,19934451,8755427.0,802016.0,56151.0,3139258.0
